tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
NWFB-1H		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1H		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2A		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2A		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2B	NWFB-2B_LP-DIR-T	NWFB-2		lt	16.9	-26.0	2	3	0	1.2	1.2	433	373	K		shoemake 2025-04-09 11:08:35	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2B	NWFB-2B_LP-DIR-T	NWFB-2		mt	16.1	-27.2	2	5	0	0.4	0.7	753	663	K		shoemake 2025-04-09 11:08:35	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2B		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2B		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2C		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2C	NWFB-2C_LP-DIR-T	NWFB-2		mt	18.4	-26.2	2	5	0	0.5	0.3	753	633	K		shoemake 2025-04-09 11:11:08	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2C	NWFB-2C_LP-DIR-T	NWFB-2		lt	16.0	-25.8	2	5	0	1.5	2.3	463	343	K		shoemake 2025-04-09 11:11:08	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2C		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2D		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2D	NWFB-2D_LP-DIR-T	NWFB-2		mt	18.6	-26.1	2	5	0	0.7	1.1	753	633	K		shoemake 2025-04-09 16:53:55	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2D		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2D	NWFB-2D_LP-DIR-T	NWFB-2		lt	20.4	-24.5	2	3	0	2.2	4.1	433	373	K		shoemake 2025-04-09 16:53:55	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2E	NWFB-2E_LP-DIR-T	NWFB-2		lt	17.7	-23.9	2	5	0	1.8	3.5	483	373	K		shoemake 2025-04-09 16:56:24	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2E	NWFB-2E_LP-DIR-T	NWFB-2		mt	17.8	-26.2	2	4	0	0.5	1.0	723	633	K		shoemake 2025-04-09 16:56:24	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2E		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2E		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2F	NWFB-2F_LP-DIR-T	NWFB-2		mt	17.4	-25.7	2	4	0	0.8	0.7	723	633	K		shoemake 2025-04-15 15:05:05	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2F		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2F		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2F	NWFB-2F_LP-DIR-T	NWFB-2		lt	15.7	-24.7	2	5	0	1.9	3.0	483	373	K		shoemake 2025-04-15 15:05:05	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2G		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2G		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2G	NWFB-2G_LP-DIR-T	NWFB-2		lt	20.1	-22.7	2	3	0	3.9	2.7	433	373	K		shoemake 2025-04-15 15:07:31	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2G	NWFB-2G_LP-DIR-T	NWFB-2		mt	18.3	-25.9	2	4	0	0.7	0.7	723	633	K		shoemake 2025-04-15 15:07:31	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2H		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2H		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3A		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3A		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3B	NWFB-3B_LP-DIR-T	NWFB-3		lt	244.2	27.6	2	4	0	120.0	4.4	463	373	K		shoemake 2025-04-09 17:03:45	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3B	NWFB-3B_LP-DIR-T	NWFB-3		mt	124.7	-73.7	2	5	0	0.1	0.3	723	603	K		shoemake 2025-04-09 17:03:45	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3B		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3B		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3C		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3C		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3C	NWFB-3C_LP-DIR-T	NWFB-3		mt	122.1	-72.6	2	6	0	0.1	1.2	723	603	K		shoemake 2025-04-09 17:06:13	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3C	NWFB-3C_LP-DIR-T	NWFB-3		lt	242.6	30.2	2	3	0	120.4	1.5	433	373	K		shoemake 2025-04-09 17:06:13	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3D		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3D	NWFB-3D_LP-DIR-T	NWFB-3		mt	126.3	-73.3	2	6	0	0.1	0.8	723	603	K		shoemake 2025-04-09 17:08:43	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3D		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3D	NWFB-3D_LP-DIR-T	NWFB-3		lt	247.4	36.9	2	3	0	123.5	2.3	463	373	K		shoemake 2025-04-09 17:08:43	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3E		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3E		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3E	NWFB-3E_LP-DIR-T	NWFB-3		mt	130.2	-73.5	2	3	0	1.1	0.3	723	663	K		shoemake 2025-04-09 17:11:14	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3E	NWFB-3E_LP-DIR-T	NWFB-3		lt	246.2	41.5	2	5	0	117.2	1.6	463	343	K		shoemake 2025-04-09 17:11:14	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3F		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3F	NWFB-3F_LP-DIR-T	NWFB-3		mt	128.9	-74.4	2	3	0	1.2	0.1	723	663	K		shoemake 2025-04-09 17:13:46	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3F	NWFB-3F_LP-DIR-T	NWFB-3		lt	251.9	45.6	2	4	0	116.9	3.2	463	373	K		shoemake 2025-04-09 17:13:46	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3F		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3G		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3G	NWFB-3G_LP-DIR-T	NWFB-3		lt	253.3	45.6	2	7	0	113.7	4.1	543	373	K		shoemake 2024-12-05 06:22:44	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3G	NWFB-3G_LP-DIR-T	NWFB-3		mt	123.0	-71.7	2	3	0	1.0	0.9	693	633	K		shoemake 2024-12-05 06:22:44	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3G		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3H	NWFB-3H_LP-DIR-T	NWFB-3		mt	150.6	-73.0	2	4	0	0.2	0.8	723	633	K		shoemake 2024-12-06 00:37:13	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3H	NWFB-3H_LP-DIR-T	NWFB-3		lt	256.8	48.1	2	4	0	74.1	1.9	513	373	K		shoemake 2024-12-06 00:37:13	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3H		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3H		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3I		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3I		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
