tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
NWFA-1C_LP-DIR-T-41	NWFA-1C_LP-DIR-T	NWFA-1C	2.2	224.3	-30.7	0	0	0	0	15	633	This study	shoemake 2024-11-23 20:20:12	LT-T-Z:LP-DIR-T	g	41	u	8	273			pmagpy-4.3.7	9.03e-06	2.42e-07	2.31e-07	1e-07	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-42	NWFA-1C_LP-DIR-T	NWFA-1C	2.6	226.0	-30.8	0	0	0	0	16	663	This study	shoemake 2024-11-25 07:36:54	LT-T-Z:LP-DIR-T	g	42	u	8	273			pmagpy-4.3.7	9.01e-06	2.86e-07	2.76e-07	1.27e-07	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-43	NWFA-1C_LP-DIR-T	NWFA-1C	3.2	226.5	-30.7	0	0	0	0	17	693	This study	shoemake 2024-11-26 22:00:17	LT-T-Z:LP-DIR-T	g	43	u	8	273			pmagpy-4.3.7	8.97e-06	3.63e-07	3.35e-07	1.31e-07	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-44	NWFA-1C_LP-DIR-T	NWFA-1C	1.9	221.7	-30.6	0	0	0	0	18	723	This study	shoemake 2024-12-05 05:03:21	LT-T-Z:LP-DIR-T	b	44	u	8	273			pmagpy-4.3.7	8.88e-06	1.99e-07	2e-07	1.22e-07	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-45	NWFA-1C_LP-DIR-T	NWFA-1C	2.2	228.4	-30.8	0	0	0	0	19	723	This study	shoemake 2025-02-06 01:13:33	LT-T-Z:LP-DIR-T	b	45	u	8	273			pmagpy-4.3.7	8.99e-06	2.59e-07	2.56e-07	5.41e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-46	NWFA-1C_LP-DIR-T	NWFA-1C	1.1	223.7	-31.3	0	0	0	0	20	753	This study	shoemake 2025-04-09 10:16:32	LT-T-Z:LP-DIR-T	g	46	u	8	273			pmagpy-4.3.7	1.88e-07	3.69e-09	3.21e-09	5.4e-10	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-47	NWFA-1C_LP-DIR-T	NWFA-1C	2.0	228.8	-28.7	0	0	0	0	21	783	This study	shoemake 2025-04-25 18:06:54	LT-T-Z:LP-DIR-T	b	47	u	8	273			pmagpy-4.3.7	1.84e-07	5.51e-09	4.18e-09	9.41e-10	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-48	NWFA-1D_LP-DIR-T	NWFA-1D	1.9	231.5	-42.0	0	0	0	0	0	273	This study	shoemake 2024-07-01 12:15:48	LT-NO:LP-DIR-T	g	48	u	8	273			pmagpy-4.3.7	1.17e-05	2.81e-07	2.57e-07	1.16e-07	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-49	NWFA-1D_LP-DIR-T	NWFA-1D	5.0	227.4	-39.2	0	0	0	0	1	77	This study	shoemake 2024-07-08 16:37:47	LT-LT-Z:LP-DIR-T	g	49	u	8	273			pmagpy-4.3.7	1.16e-05	7.34e-07	7.03e-07	9.84e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-50	NWFA-1D_LP-DIR-T	NWFA-1D	3.3	225.1	-39.1	0	0	0	0	2	77	This study	shoemake 2024-07-11 14:04:06	LT-LT-Z:LP-DIR-T	g	50	u	8	273			pmagpy-4.3.7	1.16e-05	4.92e-07	4.47e-07	1.55e-07	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-51	NWFA-1D_LP-DIR-T	NWFA-1D	0.7	228.2	-38.9	0	0	0	0	3	343	This study	shoemake 2024-07-30 17:10:55	LT-T-Z:LP-DIR-T	g	51	u	8	273			pmagpy-4.3.7	1.15e-05	1.1e-07	1.01e-07	5.96e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-52	NWFA-1D_LP-DIR-T	NWFA-1D	5.1	222.5	-37.4	0	0	0	0	4	373	This study	shoemake 2024-08-01 10:19:04	LT-T-Z:LP-DIR-T	g	52	u	8	273			pmagpy-4.3.7	1.12e-05	6.93e-07	7.29e-07	6.84e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-53	NWFA-1D_LP-DIR-T	NWFA-1D	0.8	226.6	-37.2	0	0	0	0	5	403	This study	shoemake 2024-09-07 15:23:42	LT-T-Z:LP-DIR-T	g	53	u	8	273			pmagpy-4.3.7	1.12e-05	1.19e-07	8.81e-08	6.92e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-54	NWFA-1D_LP-DIR-T	NWFA-1D	2.5	229.8	-37.0	0	0	0	0	6	433	This study	shoemake 2024-09-12 11:59:33	LT-T-Z:LP-DIR-T	g	54	u	8	273			pmagpy-4.3.7	1.12e-05	3.63e-07	3.24e-07	6.09e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-55	NWFA-1D_LP-DIR-T	NWFA-1D	1.9	225.0	-34.5	0	0	0	0	7	463	This study	shoemake 2024-09-17 11:47:44	LT-T-Z:LP-DIR-T	g	55	u	8	273			pmagpy-4.3.7	1.09e-05	2.42e-07	2.76e-07	6.66e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-56	NWFA-1D_LP-DIR-T	NWFA-1D	4.3	229.6	-34.3	0	0	0	0	8	483	This study	shoemake 2024-10-10 18:27:37	LT-T-Z:LP-DIR-T	g	56	u	8	273			pmagpy-4.3.7	1.08e-05	5.88e-07	5.44e-07	8.62e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-57	NWFA-1D_LP-DIR-T	NWFA-1D	4.9	221.1	-30.7	0	0	0	0	9	513	This study	shoemake 2024-10-18 09:25:54	LT-T-Z:LP-DIR-T	g	57	u	8	273			pmagpy-4.3.7	8.45e-06	4.56e-07	5.56e-07	6.54e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-58	NWFA-1D_LP-DIR-T	NWFA-1D	4.6	219.7	-30.1	0	0	0	0	10	543	This study	shoemake 2024-10-26 14:55:03	LT-T-Z:LP-DIR-T	g	58	u	8	273			pmagpy-4.3.7	8.07e-06	4.33e-07	4.73e-07	9.22e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-59	NWFA-1D_LP-DIR-T	NWFA-1D	2.4	220.6	-30.3	0	0	0	0	11	573	This study	shoemake 2024-11-06 15:31:05	LT-T-Z:LP-DIR-T	g	59	u	8	273			pmagpy-4.3.7	8.17e-06	2.2e-07	2.61e-07	3.02e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-60	NWFA-1D_LP-DIR-T	NWFA-1D	4.7	223.6	-30.7	0	0	0	0	12	603	This study	shoemake 2024-11-15 16:11:54	LT-T-Z:LP-DIR-T	g	60	u	8	273			pmagpy-4.3.7	8.05e-06	4.47e-07	4.83e-07	7.78e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-64	NWFA-1D_LP-DIR-T	NWFA-1D	4.2	222.1	-30.6	0	0	0	0	16	633	This study	shoemake 2024-11-22 21:08:57	LT-T-Z:LP-DIR-T	g	64	u	8	273			pmagpy-4.3.7	8.08e-06	4.14e-07	4.18e-07	5.08e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-65	NWFA-1D_LP-DIR-T	NWFA-1D	1.6	223.1	-30.7	0	0	0	0	17	663	This study	shoemake 2024-11-25 07:39:22	LT-T-Z:LP-DIR-T	g	65	u	8	273			pmagpy-4.3.7	8.06e-06	1.4e-07	1.52e-07	1.14e-07	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-66	NWFA-1D_LP-DIR-T	NWFA-1D	1.7	222.6	-30.6	0	0	0	0	18	693	This study	shoemake 2024-11-26 22:02:45	LT-T-Z:LP-DIR-T	g	66	u	8	273			pmagpy-4.3.7	8.02e-06	1.44e-07	1.58e-07	1.17e-07	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-67	NWFA-1D_LP-DIR-T	NWFA-1D	1.6	221.8	-30.5	0	0	0	0	19	723	This study	shoemake 2024-12-05 05:05:51	LT-T-Z:LP-DIR-T	b	67	u	8	273			pmagpy-4.3.7	7.77e-06	1.55e-07	1.41e-07	9.99e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-68	NWFA-1D_LP-DIR-T	NWFA-1D	2.5	227.1	-30.7	0	0	0	0	20	723	This study	shoemake 2025-02-06 01:16:02	LT-T-Z:LP-DIR-T	g	68	u	8	273			pmagpy-4.3.7	7.86e-06	2.49e-07	2.62e-07	3.56e-08	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-70	NWFA-1D_LP-DIR-T	NWFA-1D	2.5	219.9	-33.4	0	0	0	0	22	753	This study	shoemake 2025-04-15 14:47:06	LT-T-Z:LP-DIR-T	g	70	u	8	273			pmagpy-4.3.7	1.32e-07	4.72e-09	4.47e-09	9.14e-10	NWFA-1	NWFA	NWFA
NWFA-1D_LP-DIR-T-72	NWFA-1D_LP-DIR-T	NWFA-1D	1.2	223.3	-28.2	0	0	0	0	24	783	This study	shoemake 2025-05-01 16:33:46	LT-T-Z:LP-DIR-T	g	72	u	8	273			pmagpy-4.3.7	1.32e-07	2.38e-09	2.64e-09	5.49e-10	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-73	NWFA-1E_LP-DIR-T	NWFA-1E	1.5	231.6	-41.2	0	0	0	0	0	273	This study	shoemake 2024-07-01 12:17:56	LT-NO:LP-DIR-T	g	73	u	8	273			pmagpy-4.3.7	1.26e-05	2.6e-07	1.99e-07	1.2e-07	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-74	NWFA-1E_LP-DIR-T	NWFA-1E	6.2	226.7	-38.7	0	0	0	0	1	77	This study	shoemake 2024-07-08 16:40:37	LT-LT-Z:LP-DIR-T	g	74	u	8	273			pmagpy-4.3.7	1.23e-05	1.02e-06	8.71e-07	1.54e-07	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-75	NWFA-1E_LP-DIR-T	NWFA-1E	7.2	227.9	-38.8	0	0	0	0	2	77	This study	shoemake 2024-07-11 14:06:18	LT-LT-Z:LP-DIR-T	g	75	u	8	273			pmagpy-4.3.7	1.23e-05	1.19e-06	9.99e-07	1.6e-07	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-76	NWFA-1E_LP-DIR-T	NWFA-1E	1.6	225.3	-38.3	0	0	0	0	3	343	This study	shoemake 2024-07-30 17:13:52	LT-T-Z:LP-DIR-T	g	76	u	8	273			pmagpy-4.3.7	1.24e-05	1.8e-07	2.74e-07	9.9e-08	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-77	NWFA-1E_LP-DIR-T	NWFA-1E	1.7	224.4	-36.9	0	0	0	0	4	373	This study	shoemake 2024-08-01 10:21:33	LT-T-Z:LP-DIR-T	g	77	u	8	273			pmagpy-4.3.7	1.19e-05	2.76e-07	2.09e-07	1.2e-07	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-78	NWFA-1E_LP-DIR-T	NWFA-1E	2.6	228.7	-37.0	0	0	0	0	5	403	This study	shoemake 2024-09-07 15:26:10	LT-T-Z:LP-DIR-T	g	78	u	8	273			pmagpy-4.3.7	1.19e-05	3.68e-07	3.81e-07	1.12e-07	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-79	NWFA-1E_LP-DIR-T	NWFA-1E	3.2	227.2	-36.3	0	0	0	0	6	433	This study	shoemake 2024-09-12 12:02:02	LT-T-Z:LP-DIR-T	g	79	u	8	273			pmagpy-4.3.7	1.18e-05	4.4e-07	4.79e-07	1.19e-07	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-80	NWFA-1E_LP-DIR-T	NWFA-1E	3.1	222.4	-34.2	0	0	0	0	7	463	This study	shoemake 2024-09-17 11:50:13	LT-T-Z:LP-DIR-T	g	80	u	8	273			pmagpy-4.3.7	1.15e-05	4.56e-07	4.24e-07	1.11e-07	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-81	NWFA-1E_LP-DIR-T	NWFA-1E	2.6	225.4	-34.1	0	0	0	0	8	483	This study	shoemake 2024-10-10 18:30:07	LT-T-Z:LP-DIR-T	g	81	u	8	273			pmagpy-4.3.7	1.15e-05	2.81e-07	4.43e-07	1.09e-07	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-82	NWFA-1E_LP-DIR-T	NWFA-1E	1.9	218.6	-30.2	0	0	0	0	9	513	This study	shoemake 2024-10-18 09:28:22	LT-T-Z:LP-DIR-T	g	82	u	8	273			pmagpy-4.3.7	8.84e-06	1.64e-07	2.46e-07	7.78e-08	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-83	NWFA-1E_LP-DIR-T	NWFA-1E	4.8	222.3	-30.0	0	0	0	0	10	543	This study	shoemake 2024-10-26 14:57:17	LT-T-Z:LP-DIR-T	g	83	u	8	273			pmagpy-4.3.7	8.27e-06	4.89e-07	4.92e-07	9.62e-08	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-84	NWFA-1E_LP-DIR-T	NWFA-1E	4.1	222.4	-30.0	0	0	0	0	11	573	This study	shoemake 2024-11-06 15:33:36	LT-T-Z:LP-DIR-T	g	84	u	8	273			pmagpy-4.3.7	8.36e-06	3.9e-07	4.5e-07	2.98e-08	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-85	NWFA-1E_LP-DIR-T	NWFA-1E	1.2	219.6	-30.3	0	0	0	0	12	603	This study	shoemake 2024-11-15 16:14:25	LT-T-Z:LP-DIR-T	g	85	u	8	273			pmagpy-4.3.7	8.27e-06	1.11e-07	1.22e-07	9.62e-08	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-86	NWFA-1E_LP-DIR-T	NWFA-1E	1.3	221.5	-30.2	0	0	0	0	13	633	This study	shoemake 2024-11-18 15:31:14	LT-T-Z:LP-DIR-T	g	86	u	8	273			pmagpy-4.3.7	8.28e-06	1.27e-07	1.19e-07	8.76e-08	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-87	NWFA-1E_LP-DIR-T	NWFA-1E	1.8	223.6	-30.2	0	0	0	0	14	633	This study	shoemake 2024-11-22 21:11:28	LT-T-Z:LP-DIR-T	g	87	u	8	273			pmagpy-4.3.7	8.3e-06	2.02e-07	1.54e-07	7.02e-08	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-88	NWFA-1E_LP-DIR-T	NWFA-1E	2.3	220.3	-30.3	0	0	0	0	15	663	This study	shoemake 2024-11-25 07:41:52	LT-T-Z:LP-DIR-T	g	88	u	8	273			pmagpy-4.3.7	8.26e-06	2.28e-07	2.03e-07	1.32e-07	NWFA-1	NWFA	NWFA
NWFA-1E_LP-DIR-T-89	NWFA-1E_LP-DIR-T	NWFA-1E	2.3	223.0	-30.2	0	0	0	0	16	693	This study	shoemake 2024-11-26 22:05:15	LT-T-Z:LP-DIR-T	g	89	u	8	273			pmagpy-4.3.7	8.21e-06	2.4e-07	2.02e-07	1.34e-07	NWFA-1	NWFA	NWFA
