tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-10-28 17:16:37	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-12	6.9	222.7	nan	b	-30.7	9.76e-06	11	8	7.68e-07	8.83e-07	1.7e-07	u	273	12	0	0	0.0	0.0	543.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-10-29 11:09:35	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-13	6.5	220.7	nan	g	-30.8	9.79e-06	12	8	6.91e-07	8.56e-07	1.75e-07	u	273	13	0	0	0.0	0.0	543.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-11-06 15:26:06	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-14	7.2	223.1	nan	g	-30.4	9.94e-06	13	8	8.12e-07	9.47e-07	8.87e-08	u	273	14	0	0	0.0	0.0	573.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-11-15 16:06:57	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-15	4.3	221.9	nan	g	-30.7	9.85e-06	14	8	4.51e-07	5.66e-07	1.51e-07	u	273	15	0	0	0.0	0.0	603.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-11-18 15:23:44	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-16	48.2	40.5	nan	b	-58.6	9.71e-13	15	8	1e-12	4.6e-13	4.2e-13	u	273	16	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-11-19 07:58:07	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-17	71.7	292.0	nan	b	-16.4	5.22e-13	16	8	5e-13	8.7e-13	1e-12	u	273	17	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-11-20 17:13:51	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-18	55.6	72.0	nan	g	-87.6	1.98e-11	17	8	1.13e-12	1.13e-12	2.53e-11	u	273	18	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-11-22 21:04:03	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-19	4.4	222.3	nan	g	-30.6	9.89e-06	18	8	5.56e-07	5.06e-07	1.27e-07	u	273	19	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-11-25 07:34:26	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-20	2.9	221.5	nan	g	-30.7	9.87e-06	19	8	2.72e-07	3.77e-07	1.85e-07	u	273	20	0	0	0.0	0.0	663.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-11-26 21:57:50	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-21	4.1	220.0	nan	g	-30.6	9.83e-06	20	8	3.86e-07	5.6e-07	1.98e-07	u	273	21	0	0	0.0	0.0	693.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-12-05 05:00:54	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-22	2.8	216.1	nan	g	-30.5	9.81e-06	21	8	2.35e-07	3.79e-07	1.83e-07	u	273	22	0	0	0.0	0.0	723.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2025-02-06 01:11:06	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-23	2.4	217.8	nan	g	-30.7	9.94e-06	22	8	3.08e-07	2.8e-07	1.06e-07	u	273	23	0	0	0.0	0.0	723.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2025-04-09 10:14:07	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-24	2.6	215.7	nan	g	-30.0	3.1e-07	23	8	7.23e-09	1.23e-08	2.69e-09	u	273	24	0	0	0.0	0.0	753.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2025-04-25 18:04:28	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-25	4.4	221.0	nan	b	-27.7	3.04e-07	24	8	1.52e-08	1.79e-08	3.34e-09	u	273	25	0	0	0.0	0.0	783.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-07-01 12:13:40	LT-NO:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-26	1.4	230.8	nan	g	-41.9	1.26e-05	0	8	2.23e-07	2.03e-07	1.31e-07	u	273	26	0	0	0.0	0.0	273.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-07-08 16:35:37	LT-LT-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-27	8.5	231.5	nan	g	-39.7	1.24e-05	1	8	1.46e-06	1.14e-06	1.36e-07	u	273	27	0	0	0.0	0.0	77.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-07-11 14:01:55	LT-LT-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-28	2.8	224.2	nan	g	-39.4	1.25e-05	2	8	4.6e-07	3.94e-07	1.68e-07	u	273	28	0	0	0.0	0.0	77.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-07-30 17:07:58	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-29	2.6	232.0	nan	g	-39.1	1.24e-05	3	8	4.33e-07	3.61e-07	4.9e-08	u	273	29	0	0	0.0	0.0	343.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-08-01 10:16:36	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-30	1.7	231.7	nan	g	-37.3	1.21e-05	4	8	2.9e-07	2.01e-07	6.86e-08	u	273	30	0	0	0.0	0.0	373.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-09-07 15:21:16	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-31	0.6	231.7	nan	g	-37.3	1.21e-05	5	8	9.55e-08	7.77e-08	6.95e-08	u	273	31	0	0	0.0	0.0	403.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-09-12 11:57:06	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-32	1.7	233.4	nan	g	-37.1	1.2e-05	6	8	2.69e-07	2.3e-07	6.74e-08	u	273	32	0	0	0.0	0.0	433.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-09-17 11:45:16	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-33	0.6	228.4	nan	g	-34.5	1.18e-05	7	8	9.47e-08	9.1e-08	6.42e-08	u	273	33	0	0	0.0	0.0	463.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-10-10 18:25:08	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-34	4.9	227.9	nan	g	-34.5	1.17e-05	8	8	7.4e-07	6.69e-07	6.71e-08	u	273	34	0	0	0.0	0.0	483.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-10-18 09:23:24	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-35	5.3	221.5	nan	g	-30.8	9.27e-06	9	8	5.38e-07	6.66e-07	7.96e-08	u	273	35	0	0	0.0	0.0	513.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-10-26 14:52:47	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-36	7.3	224.3	nan	g	-30.4	8.98e-06	10	8	8.38e-07	7.84e-07	1.23e-07	u	273	36	0	0	0.0	0.0	543.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-11-06 15:28:35	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-37	1.7	222.8	nan	g	-30.4	9.13e-06	11	8	1.95e-07	2e-07	4.1e-08	u	273	37	0	0	0.0	0.0	573.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-11-15 16:09:25	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-38	1.5	223.3	nan	g	-30.7	9.01e-06	12	8	1.7e-07	1.62e-07	9.73e-08	u	273	38	0	0	0.0	0.0	603.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-11-18 15:26:13	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-39	1.3	222.3	nan	g	-30.7	9.03e-06	13	8	1.34e-07	1.43e-07	8.83e-08	u	273	39	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-11-22 21:06:29	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-40	70.1	183.1	nan	g	0.0	3.11e-06	14	8	4.31e-07	7.64e-06	4.89e-06	u	273	40	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-11-23 20:20:12	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-41	2.2	224.3	nan	g	-30.7	9.03e-06	15	8	2.42e-07	2.31e-07	1e-07	u	273	41	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-11-25 07:36:54	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-42	2.6	226.0	nan	g	-30.8	9.01e-06	16	8	2.86e-07	2.76e-07	1.27e-07	u	273	42	0	0	0.0	0.0	663.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-11-26 22:00:17	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-43	3.2	226.5	nan	g	-30.7	8.97e-06	17	8	3.63e-07	3.35e-07	1.31e-07	u	273	43	0	0	0.0	0.0	693.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2024-12-05 05:03:21	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-44	1.9	221.7	nan	g	-30.6	8.88e-06	18	8	1.99e-07	2e-07	1.22e-07	u	273	44	0	0	0.0	0.0	723.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2025-02-06 01:13:33	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-45	2.2	228.4	nan	g	-30.8	8.99e-06	19	8	2.59e-07	2.56e-07	5.41e-08	u	273	45	0	0	0.0	0.0	723.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2025-04-09 10:16:32	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-46	1.1	223.7	nan	g	-31.3	1.88e-07	20	8	3.69e-09	3.21e-09	5.4e-10	u	273	46	0	0	0.0	0.0	753.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1C	NWFA-1C_LP-DIR-T	shoemake 2025-04-25 18:06:54	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1C_LP-DIR-T-47	2.0	228.8	nan	g	-28.7	1.84e-07	21	8	5.51e-09	4.18e-09	9.41e-10	u	273	47	0	0	0.0	0.0	783.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-07-01 12:15:48	LT-NO:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-48	1.9	231.5	nan	g	-42.0	1.17e-05	0	8	2.81e-07	2.57e-07	1.16e-07	u	273	48	0	0	0.0	0.0	273.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-07-08 16:37:47	LT-LT-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-49	5.0	227.4	nan	g	-39.2	1.16e-05	1	8	7.34e-07	7.03e-07	9.84e-08	u	273	49	0	0	0.0	0.0	77.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-07-11 14:04:06	LT-LT-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-50	3.3	225.1	nan	g	-39.1	1.16e-05	2	8	4.92e-07	4.47e-07	1.55e-07	u	273	50	0	0	0.0	0.0	77.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-07-30 17:10:55	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-51	0.7	228.2	nan	g	-38.9	1.15e-05	3	8	1.1e-07	1.01e-07	5.96e-08	u	273	51	0	0	0.0	0.0	343.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-08-01 10:19:04	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-52	5.1	222.5	nan	g	-37.4	1.12e-05	4	8	6.93e-07	7.29e-07	6.84e-08	u	273	52	0	0	0.0	0.0	373.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-09-07 15:23:42	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-53	0.8	226.6	nan	g	-37.2	1.12e-05	5	8	1.19e-07	8.81e-08	6.92e-08	u	273	53	0	0	0.0	0.0	403.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-09-12 11:59:33	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-54	2.5	229.8	nan	g	-37.0	1.12e-05	6	8	3.63e-07	3.24e-07	6.09e-08	u	273	54	0	0	0.0	0.0	433.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-09-17 11:47:44	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-55	1.9	225.0	nan	g	-34.5	1.09e-05	7	8	2.42e-07	2.76e-07	6.66e-08	u	273	55	0	0	0.0	0.0	463.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-10-10 18:27:37	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-56	4.3	229.6	nan	g	-34.3	1.08e-05	8	8	5.88e-07	5.44e-07	8.62e-08	u	273	56	0	0	0.0	0.0	483.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-10-18 09:25:54	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-57	4.9	221.1	nan	g	-30.7	8.45e-06	9	8	4.56e-07	5.56e-07	6.54e-08	u	273	57	0	0	0.0	0.0	513.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-10-26 14:55:03	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-58	4.6	219.7	nan	g	-30.1	8.07e-06	10	8	4.33e-07	4.73e-07	9.22e-08	u	273	58	0	0	0.0	0.0	543.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-11-06 15:31:05	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-59	2.4	220.6	nan	g	-30.3	8.17e-06	11	8	2.2e-07	2.61e-07	3.02e-08	u	273	59	0	0	0.0	0.0	573.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-11-15 16:11:54	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-60	4.7	223.6	nan	g	-30.7	8.05e-06	12	8	4.47e-07	4.83e-07	7.78e-08	u	273	60	0	0	0.0	0.0	603.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-11-18 15:28:42	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-61	44.7	218.4	nan	g	-30.6	4.03e-06	13	8	2.91e-06	2.3e-06	2.2e-06	u	273	61	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-11-19 08:00:36	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-62	59.6	274.2	nan	g	-43.1	6.94e-13	14	8	8.3e-13	8.1e-13	4.9e-13	u	273	62	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-11-20 17:16:21	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-63	34.3	67.6	nan	g	-86.4	1.53e-11	15	8	1.68e-12	1.58e-12	1.87e-11	u	273	63	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-11-22 21:08:57	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-64	4.2	222.1	nan	g	-30.6	8.08e-06	16	8	4.14e-07	4.18e-07	5.08e-08	u	273	64	0	0	0.0	0.0	633.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-11-25 07:39:22	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-65	1.6	223.1	nan	g	-30.7	8.06e-06	17	8	1.4e-07	1.52e-07	1.14e-07	u	273	65	0	0	0.0	0.0	663.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-11-26 22:02:45	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-66	1.7	222.6	nan	g	-30.6	8.02e-06	18	8	1.44e-07	1.58e-07	1.17e-07	u	273	66	0	0	0.0	0.0	693.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2024-12-05 05:05:51	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-67	1.6	221.8	nan	g	-30.5	7.77e-06	19	8	1.55e-07	1.41e-07	9.99e-08	u	273	67	0	0	0.0	0.0	723.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2025-02-06 01:16:02	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-68	2.5	227.1	nan	g	-30.7	7.86e-06	20	8	2.49e-07	2.62e-07	3.56e-08	u	273	68	0	0	0.0	0.0	723.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2025-04-09 10:19:00	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-69	63.3	215.6	nan	g	-32.7	6.59e-08	21	8	4.82e-08	3.46e-08	3.88e-08	u	273	69	0	0	0.0	0.0	753.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2025-04-15 14:47:06	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-70	2.5	219.9	nan	g	-33.4	1.32e-07	22	8	4.72e-09	4.47e-09	9.14e-10	u	273	70	0	0	0.0	0.0	753.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2025-04-25 18:09:20	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-71	54.9	226.5	nan	g	-28.4	6.71e-08	23	8	4.35e-08	4.58e-08	3.41e-08	u	273	71	0	0	0.0	0.0	783.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1D	NWFA-1D_LP-DIR-T	shoemake 2025-05-01 16:33:46	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1D_LP-DIR-T-72	1.2	223.3	nan	g	-28.2	1.32e-07	24	8	2.38e-09	2.64e-09	5.49e-10	u	273	72	0	0	0.0	0.0	783.0
