tab	measurements																									
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		4.3	221.9	-30.7	NWFA-1B_LP-DIR-T	shoemake 2024-11-15 16:06:57	9.85E-06	4.51E-07	5.66E-07	1.51E-07	8	273	NWFA-1B_LP-DIR-T-15	LT-T-Z:LP-DIR-T	g	15	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	14	603
	This study		48.2	40.5	-58.6	NWFA-1B_LP-DIR-T	shoemake 2024-11-18 15:23:44	9.71E-13	1.00E-12	4.60E-13	4.20E-13	8	273	NWFA-1B_LP-DIR-T-16	LT-T-Z:LP-DIR-T	g	16	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	15	633
	This study		71.7	292	-16.4	NWFA-1B_LP-DIR-T	shoemake 2024-11-19 07:58:07	5.22E-13	5.00E-13	8.70E-13	1.00E-12	8	273	NWFA-1B_LP-DIR-T-17	LT-T-Z:LP-DIR-T	g	17	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	16	633
	This study		55.6	72	-87.6	NWFA-1B_LP-DIR-T	shoemake 2024-11-20 17:13:51	1.98E-11	1.13E-12	1.13E-12	2.53E-11	8	273	NWFA-1B_LP-DIR-T-18	LT-T-Z:LP-DIR-T	g	18	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	17	633
	This study		4.4	222.3	-30.6	NWFA-1B_LP-DIR-T	shoemake 2024-11-22 21:04:03	9.89E-06	5.56E-07	5.06E-07	1.27E-07	8	273	NWFA-1B_LP-DIR-T-19	LT-T-Z:LP-DIR-T	g	19	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	18	633
	This study		2.9	221.5	-30.7	NWFA-1B_LP-DIR-T	shoemake 2024-11-25 07:34:26	9.87E-06	2.72E-07	3.77E-07	1.85E-07	8	273	NWFA-1B_LP-DIR-T-20	LT-T-Z:LP-DIR-T	g	20	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	19	663
	This study		4.1	220	-30.6	NWFA-1B_LP-DIR-T	shoemake 2024-11-26 21:57:50	9.83E-06	3.86E-07	5.60E-07	1.98E-07	8	273	NWFA-1B_LP-DIR-T-21	LT-T-Z:LP-DIR-T	g	21	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	20	693
	This study		2.8	216.1	-30.5	NWFA-1B_LP-DIR-T	shoemake 2024-12-05 05:00:54	9.81E-06	2.35E-07	3.79E-07	1.83E-07	8	273	NWFA-1B_LP-DIR-T-22	LT-T-Z:LP-DIR-T	g	22	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	21	723
	This study		2.4	217.8	-30.7	NWFA-1B_LP-DIR-T	shoemake 2025-02-06 01:11:06	9.94E-06	3.08E-07	2.80E-07	1.06E-07	8	273	NWFA-1B_LP-DIR-T-23	LT-T-Z:LP-DIR-T	g	23	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	22	723
	This study		2.6	215.7	-30	NWFA-1B_LP-DIR-T	shoemake 2025-04-09 10:14:07	3.10E-07	7.23E-09	1.23E-08	2.69E-09	8	273	NWFA-1B_LP-DIR-T-24	LT-T-Z:LP-DIR-T	g	24	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	23	753
	This study		4.4	221	-27.7	NWFA-1B_LP-DIR-T	shoemake 2025-04-25 18:04:28	3.04E-07	1.52E-08	1.79E-08	3.34E-09	8	273	NWFA-1B_LP-DIR-T-25	LT-T-Z:LP-DIR-T	g	25	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	24	783
	This study		1.4	230.8	-41.9	NWFA-1C_LP-DIR-T	shoemake 2024-07-01 12:13:40	1.26E-05	2.23E-07	2.03E-07	1.31E-07	8	273	NWFA-1C_LP-DIR-T-26	LT-NO:LP-DIR-T	g	26	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	0	273
	This study		8.5	231.5	-39.7	NWFA-1C_LP-DIR-T	shoemake 2024-07-08 16:35:37	1.24E-05	1.46E-06	1.14E-06	1.36E-07	8	273	NWFA-1C_LP-DIR-T-27	LT-LT-Z:LP-DIR-T	g	27	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	1	77
	This study		2.8	224.2	-39.4	NWFA-1C_LP-DIR-T	shoemake 2024-07-11 14:01:55	1.25E-05	4.60E-07	3.94E-07	1.68E-07	8	273	NWFA-1C_LP-DIR-T-28	LT-LT-Z:LP-DIR-T	g	28	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	2	77
	This study		2.6	232	-39.1	NWFA-1C_LP-DIR-T	shoemake 2024-07-30 17:07:58	1.24E-05	4.33E-07	3.61E-07	4.90E-08	8	273	NWFA-1C_LP-DIR-T-29	LT-T-Z:LP-DIR-T	g	29	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	3	343
	This study		1.7	231.7	-37.3	NWFA-1C_LP-DIR-T	shoemake 2024-08-01 10:16:36	1.21E-05	2.90E-07	2.01E-07	6.86E-08	8	273	NWFA-1C_LP-DIR-T-30	LT-T-Z:LP-DIR-T	g	30	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	4	373
	This study		0.6	231.7	-37.3	NWFA-1C_LP-DIR-T	shoemake 2024-09-07 15:21:16	1.21E-05	9.55E-08	7.77E-08	6.95E-08	8	273	NWFA-1C_LP-DIR-T-31	LT-T-Z:LP-DIR-T	g	31	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	5	403
	This study		1.7	233.4	-37.1	NWFA-1C_LP-DIR-T	shoemake 2024-09-12 11:57:06	1.20E-05	2.69E-07	2.30E-07	6.74E-08	8	273	NWFA-1C_LP-DIR-T-32	LT-T-Z:LP-DIR-T	g	32	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	6	433
	This study		0.6	228.4	-34.5	NWFA-1C_LP-DIR-T	shoemake 2024-09-17 11:45:16	1.18E-05	9.47E-08	9.10E-08	6.42E-08	8	273	NWFA-1C_LP-DIR-T-33	LT-T-Z:LP-DIR-T	g	33	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	7	463
	This study		4.9	227.9	-34.5	NWFA-1C_LP-DIR-T	shoemake 2024-10-10 18:25:08	1.17E-05	7.40E-07	6.69E-07	6.71E-08	8	273	NWFA-1C_LP-DIR-T-34	LT-T-Z:LP-DIR-T	g	34	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	8	483
	This study		5.3	221.5	-30.8	NWFA-1C_LP-DIR-T	shoemake 2024-10-18 09:23:24	9.27E-06	5.38E-07	6.66E-07	7.96E-08	8	273	NWFA-1C_LP-DIR-T-35	LT-T-Z:LP-DIR-T	g	35	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	9	513
	This study		7.3	224.3	-30.4	NWFA-1C_LP-DIR-T	shoemake 2024-10-26 14:52:47	8.98E-06	8.38E-07	7.84E-07	1.23E-07	8	273	NWFA-1C_LP-DIR-T-36	LT-T-Z:LP-DIR-T	g	36	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	10	543
	This study		1.7	222.8	-30.4	NWFA-1C_LP-DIR-T	shoemake 2024-11-06 15:28:35	9.13E-06	1.95E-07	2.00E-07	4.10E-08	8	273	NWFA-1C_LP-DIR-T-37	LT-T-Z:LP-DIR-T	g	37	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	11	573
	This study		1.5	223.3	-30.7	NWFA-1C_LP-DIR-T	shoemake 2024-11-15 16:09:25	9.01E-06	1.70E-07	1.62E-07	9.73E-08	8	273	NWFA-1C_LP-DIR-T-38	LT-T-Z:LP-DIR-T	g	38	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	12	603
	This study		1.3	222.3	-30.7	NWFA-1C_LP-DIR-T	shoemake 2024-11-18 15:26:13	9.03E-06	1.34E-07	1.43E-07	8.83E-08	8	273	NWFA-1C_LP-DIR-T-39	LT-T-Z:LP-DIR-T	g	39	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	13	633
	This study		70.1	183.1	0	NWFA-1C_LP-DIR-T	shoemake 2024-11-22 21:06:29	3.11E-06	4.31E-07	7.64E-06	4.89E-06	8	273	NWFA-1C_LP-DIR-T-40	LT-T-Z:LP-DIR-T	g	40	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	14	633
	This study		2.2	224.3	-30.7	NWFA-1C_LP-DIR-T	shoemake 2024-11-23 20:20:12	9.03E-06	2.42E-07	2.31E-07	1.00E-07	8	273	NWFA-1C_LP-DIR-T-41	LT-T-Z:LP-DIR-T	g	41	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	15	633
	This study		2.6	226	-30.8	NWFA-1C_LP-DIR-T	shoemake 2024-11-25 07:36:54	9.01E-06	2.86E-07	2.76E-07	1.27E-07	8	273	NWFA-1C_LP-DIR-T-42	LT-T-Z:LP-DIR-T	g	42	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	16	663
	This study		3.2	226.5	-30.7	NWFA-1C_LP-DIR-T	shoemake 2024-11-26 22:00:17	8.97E-06	3.63E-07	3.35E-07	1.31E-07	8	273	NWFA-1C_LP-DIR-T-43	LT-T-Z:LP-DIR-T	g	43	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	17	693
	This study		1.9	221.7	-30.6	NWFA-1C_LP-DIR-T	shoemake 2024-12-05 05:03:21	8.88E-06	1.99E-07	2.00E-07	1.22E-07	8	273	NWFA-1C_LP-DIR-T-44	LT-T-Z:LP-DIR-T	g	44	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	18	723
	This study		2.2	228.4	-30.8	NWFA-1C_LP-DIR-T	shoemake 2025-02-06 01:13:33	8.99E-06	2.59E-07	2.56E-07	5.41E-08	8	273	NWFA-1C_LP-DIR-T-45	LT-T-Z:LP-DIR-T	g	45	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	19	723
	This study		1.1	223.7	-31.3	NWFA-1C_LP-DIR-T	shoemake 2025-04-09 10:16:32	1.88E-07	3.69E-09	3.21E-09	5.40E-10	8	273	NWFA-1C_LP-DIR-T-46	LT-T-Z:LP-DIR-T	g	46	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	20	753
	This study		2	228.8	-28.7	NWFA-1C_LP-DIR-T	shoemake 2025-04-25 18:06:54	1.84E-07	5.51E-09	4.18E-09	9.41E-10	8	273	NWFA-1C_LP-DIR-T-47	LT-T-Z:LP-DIR-T	g	47	pmagpy-4.3.7	NWFA-1C	u	0	0	0	0	21	783
	This study		1.9	231.5	-42	NWFA-1D_LP-DIR-T	shoemake 2024-07-01 12:15:48	1.17E-05	2.81E-07	2.57E-07	1.16E-07	8	273	NWFA-1D_LP-DIR-T-48	LT-NO:LP-DIR-T	g	48	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	0	273
	This study		5	227.4	-39.2	NWFA-1D_LP-DIR-T	shoemake 2024-07-08 16:37:47	1.16E-05	7.34E-07	7.03E-07	9.84E-08	8	273	NWFA-1D_LP-DIR-T-49	LT-LT-Z:LP-DIR-T	g	49	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	1	77
	This study		3.3	225.1	-39.1	NWFA-1D_LP-DIR-T	shoemake 2024-07-11 14:04:06	1.16E-05	4.92E-07	4.47E-07	1.55E-07	8	273	NWFA-1D_LP-DIR-T-50	LT-LT-Z:LP-DIR-T	g	50	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	2	77
	This study		0.7	228.2	-38.9	NWFA-1D_LP-DIR-T	shoemake 2024-07-30 17:10:55	1.15E-05	1.10E-07	1.01E-07	5.96E-08	8	273	NWFA-1D_LP-DIR-T-51	LT-T-Z:LP-DIR-T	g	51	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	3	343
	This study		5.1	222.5	-37.4	NWFA-1D_LP-DIR-T	shoemake 2024-08-01 10:19:04	1.12E-05	6.93E-07	7.29E-07	6.84E-08	8	273	NWFA-1D_LP-DIR-T-52	LT-T-Z:LP-DIR-T	g	52	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	4	373
	This study		0.8	226.6	-37.2	NWFA-1D_LP-DIR-T	shoemake 2024-09-07 15:23:42	1.12E-05	1.19E-07	8.81E-08	6.92E-08	8	273	NWFA-1D_LP-DIR-T-53	LT-T-Z:LP-DIR-T	g	53	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	5	403
	This study		2.5	229.8	-37	NWFA-1D_LP-DIR-T	shoemake 2024-09-12 11:59:33	1.12E-05	3.63E-07	3.24E-07	6.09E-08	8	273	NWFA-1D_LP-DIR-T-54	LT-T-Z:LP-DIR-T	g	54	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	6	433
	This study		1.9	225	-34.5	NWFA-1D_LP-DIR-T	shoemake 2024-09-17 11:47:44	1.09E-05	2.42E-07	2.76E-07	6.66E-08	8	273	NWFA-1D_LP-DIR-T-55	LT-T-Z:LP-DIR-T	g	55	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	7	463
	This study		4.3	229.6	-34.3	NWFA-1D_LP-DIR-T	shoemake 2024-10-10 18:27:37	1.08E-05	5.88E-07	5.44E-07	8.62E-08	8	273	NWFA-1D_LP-DIR-T-56	LT-T-Z:LP-DIR-T	g	56	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	8	483
	This study		4.9	221.1	-30.7	NWFA-1D_LP-DIR-T	shoemake 2024-10-18 09:25:54	8.45E-06	4.56E-07	5.56E-07	6.54E-08	8	273	NWFA-1D_LP-DIR-T-57	LT-T-Z:LP-DIR-T	g	57	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	9	513
	This study		4.6	219.7	-30.1	NWFA-1D_LP-DIR-T	shoemake 2024-10-26 14:55:03	8.07E-06	4.33E-07	4.73E-07	9.22E-08	8	273	NWFA-1D_LP-DIR-T-58	LT-T-Z:LP-DIR-T	g	58	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	10	543
	This study		2.4	220.6	-30.3	NWFA-1D_LP-DIR-T	shoemake 2024-11-06 15:31:05	8.17E-06	2.20E-07	2.61E-07	3.02E-08	8	273	NWFA-1D_LP-DIR-T-59	LT-T-Z:LP-DIR-T	g	59	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	11	573
	This study		4.7	223.6	-30.7	NWFA-1D_LP-DIR-T	shoemake 2024-11-15 16:11:54	8.05E-06	4.47E-07	4.83E-07	7.78E-08	8	273	NWFA-1D_LP-DIR-T-60	LT-T-Z:LP-DIR-T	g	60	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	12	603
	This study		44.7	218.4	-30.6	NWFA-1D_LP-DIR-T	shoemake 2024-11-18 15:28:42	4.03E-06	2.91E-06	2.30E-06	2.20E-06	8	273	NWFA-1D_LP-DIR-T-61	LT-T-Z:LP-DIR-T	g	61	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	13	633
	This study		59.6	274.2	-43.1	NWFA-1D_LP-DIR-T	shoemake 2024-11-19 08:00:36	6.94E-13	8.30E-13	8.10E-13	4.90E-13	8	273	NWFA-1D_LP-DIR-T-62	LT-T-Z:LP-DIR-T	g	62	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	14	633
	This study		34.3	67.6	-86.4	NWFA-1D_LP-DIR-T	shoemake 2024-11-20 17:16:21	1.53E-11	1.68E-12	1.58E-12	1.87E-11	8	273	NWFA-1D_LP-DIR-T-63	LT-T-Z:LP-DIR-T	g	63	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	15	633
	This study		4.2	222.1	-30.6	NWFA-1D_LP-DIR-T	shoemake 2024-11-22 21:08:57	8.08E-06	4.14E-07	4.18E-07	5.08E-08	8	273	NWFA-1D_LP-DIR-T-64	LT-T-Z:LP-DIR-T	g	64	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	16	633
	This study		1.6	223.1	-30.7	NWFA-1D_LP-DIR-T	shoemake 2024-11-25 07:39:22	8.06E-06	1.40E-07	1.52E-07	1.14E-07	8	273	NWFA-1D_LP-DIR-T-65	LT-T-Z:LP-DIR-T	g	65	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	17	663
	This study		1.7	222.6	-30.6	NWFA-1D_LP-DIR-T	shoemake 2024-11-26 22:02:45	8.02E-06	1.44E-07	1.58E-07	1.17E-07	8	273	NWFA-1D_LP-DIR-T-66	LT-T-Z:LP-DIR-T	g	66	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	18	693
	This study		1.6	221.8	-30.5	NWFA-1D_LP-DIR-T	shoemake 2024-12-05 05:05:51	7.77E-06	1.55E-07	1.41E-07	9.99E-08	8	273	NWFA-1D_LP-DIR-T-67	LT-T-Z:LP-DIR-T	g	67	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	19	723
	This study		2.5	227.1	-30.7	NWFA-1D_LP-DIR-T	shoemake 2025-02-06 01:16:02	7.86E-06	2.49E-07	2.62E-07	3.56E-08	8	273	NWFA-1D_LP-DIR-T-68	LT-T-Z:LP-DIR-T	g	68	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	20	723
	This study		63.3	215.6	-32.7	NWFA-1D_LP-DIR-T	shoemake 2025-04-09 10:19:00	6.59E-08	4.82E-08	3.46E-08	3.88E-08	8	273	NWFA-1D_LP-DIR-T-69	LT-T-Z:LP-DIR-T	g	69	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	21	753
	This study		2.5	219.9	-33.4	NWFA-1D_LP-DIR-T	shoemake 2025-04-15 14:47:06	1.32E-07	4.72E-09	4.47E-09	9.14E-10	8	273	NWFA-1D_LP-DIR-T-70	LT-T-Z:LP-DIR-T	g	70	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	22	753
	This study		54.9	226.5	-28.4	NWFA-1D_LP-DIR-T	shoemake 2025-04-25 18:09:20	6.71E-08	4.35E-08	4.58E-08	3.41E-08	8	273	NWFA-1D_LP-DIR-T-71	LT-T-Z:LP-DIR-T	g	71	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	23	783
	This study		1.2	223.3	-28.2	NWFA-1D_LP-DIR-T	shoemake 2025-05-01 16:33:46	1.32E-07	2.38E-09	2.64E-09	5.49E-10	8	273	NWFA-1D_LP-DIR-T-72	LT-T-Z:LP-DIR-T	g	72	pmagpy-4.3.7	NWFA-1D	u	0	0	0	0	24	783
	This study		1.5	231.6	-41.2	NWFA-1E_LP-DIR-T	shoemake 2024-07-01 12:17:56	1.26E-05	2.60E-07	1.99E-07	1.20E-07	8	273	NWFA-1E_LP-DIR-T-73	LT-NO:LP-DIR-T	g	73	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	0	273
	This study		6.2	226.7	-38.7	NWFA-1E_LP-DIR-T	shoemake 2024-07-08 16:40:37	1.23E-05	1.02E-06	8.71E-07	1.54E-07	8	273	NWFA-1E_LP-DIR-T-74	LT-LT-Z:LP-DIR-T	g	74	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	1	77
	This study		7.2	227.9	-38.8	NWFA-1E_LP-DIR-T	shoemake 2024-07-11 14:06:18	1.23E-05	1.19E-06	9.99E-07	1.60E-07	8	273	NWFA-1E_LP-DIR-T-75	LT-LT-Z:LP-DIR-T	g	75	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	2	77
	This study		1.6	225.3	-38.3	NWFA-1E_LP-DIR-T	shoemake 2024-07-30 17:13:52	1.24E-05	1.80E-07	2.74E-07	9.90E-08	8	273	NWFA-1E_LP-DIR-T-76	LT-T-Z:LP-DIR-T	g	76	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	3	343
	This study		1.7	224.4	-36.9	NWFA-1E_LP-DIR-T	shoemake 2024-08-01 10:21:33	1.19E-05	2.76E-07	2.09E-07	1.20E-07	8	273	NWFA-1E_LP-DIR-T-77	LT-T-Z:LP-DIR-T	g	77	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	4	373
	This study		2.6	228.7	-37	NWFA-1E_LP-DIR-T	shoemake 2024-09-07 15:26:10	1.19E-05	3.68E-07	3.81E-07	1.12E-07	8	273	NWFA-1E_LP-DIR-T-78	LT-T-Z:LP-DIR-T	g	78	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	5	403
	This study		3.2	227.2	-36.3	NWFA-1E_LP-DIR-T	shoemake 2024-09-12 12:02:02	1.18E-05	4.40E-07	4.79E-07	1.19E-07	8	273	NWFA-1E_LP-DIR-T-79	LT-T-Z:LP-DIR-T	g	79	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	6	433
	This study		3.1	222.4	-34.2	NWFA-1E_LP-DIR-T	shoemake 2024-09-17 11:50:13	1.15E-05	4.56E-07	4.24E-07	1.11E-07	8	273	NWFA-1E_LP-DIR-T-80	LT-T-Z:LP-DIR-T	g	80	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	7	463
	This study		2.6	225.4	-34.1	NWFA-1E_LP-DIR-T	shoemake 2024-10-10 18:30:07	1.15E-05	2.81E-07	4.43E-07	1.09E-07	8	273	NWFA-1E_LP-DIR-T-81	LT-T-Z:LP-DIR-T	g	81	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	8	483
	This study		1.9	218.6	-30.2	NWFA-1E_LP-DIR-T	shoemake 2024-10-18 09:28:22	8.84E-06	1.64E-07	2.46E-07	7.78E-08	8	273	NWFA-1E_LP-DIR-T-82	LT-T-Z:LP-DIR-T	g	82	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	9	513
	This study		4.8	222.3	-30	NWFA-1E_LP-DIR-T	shoemake 2024-10-26 14:57:17	8.27E-06	4.89E-07	4.92E-07	9.62E-08	8	273	NWFA-1E_LP-DIR-T-83	LT-T-Z:LP-DIR-T	g	83	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	10	543
	This study		4.1	222.4	-30	NWFA-1E_LP-DIR-T	shoemake 2024-11-06 15:33:36	8.36E-06	3.90E-07	4.50E-07	2.98E-08	8	273	NWFA-1E_LP-DIR-T-84	LT-T-Z:LP-DIR-T	g	84	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	11	573
	This study		1.2	219.6	-30.3	NWFA-1E_LP-DIR-T	shoemake 2024-11-15 16:14:25	8.27E-06	1.11E-07	1.22E-07	9.62E-08	8	273	NWFA-1E_LP-DIR-T-85	LT-T-Z:LP-DIR-T	g	85	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	12	603
	This study		1.3	221.5	-30.2	NWFA-1E_LP-DIR-T	shoemake 2024-11-18 15:31:14	8.28E-06	1.27E-07	1.19E-07	8.76E-08	8	273	NWFA-1E_LP-DIR-T-86	LT-T-Z:LP-DIR-T	g	86	pmagpy-4.3.7	NWFA-1E	u	0	0	0	0	13	633
