tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
NWFA-5B	NWFA-5B_LP-DIR-T	NWFA-5B		lt	356.6	33.1	2	5	0	17.7	3.5	403	273	K		shoemake 2025-04-25 18:36:15	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-5B		NWFA-5B																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5B		NWFA-5																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5C	NWFA-5C_LP-DIR-T	NWFA-5C		lt	352.0	33.7	2	3	0	21.5	2.5	343	273	K		shoemake 2025-04-25 18:38:43	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-5C	NWFA-5C_LP-DIR-T	NWFA-5C		mt	10.2	16.6	2	6	0	1.2	1.4	783	663	K		shoemake 2025-04-25 18:38:43	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-5C		NWFA-5																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5C		NWFA-5C																	This study	LP-NOMAG				NWFA	NWFA
NWFB-1A		NWFB-1A																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1A		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1B		NWFB-1B																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1B		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1B	NWFB-1B_LP-DIR-T	NWFB-1B		mt	124.9	-43.0	2	5	0	1.6	1.4	753	663	K		shoemake 2025-04-25 18:41:13	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1B	NWFB-1B_LP-DIR-T	NWFB-1B		lt	288.2	14.9	2	4	0	148.5	27.1	433	343	K		shoemake 2025-04-25 18:41:13	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1C	NWFB-1C_LP-DIR-T	NWFB-1C		lt	286.0	12.1	2	5	0	146.2	23.0	403	273	K		shoemake 2025-04-25 18:43:44	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1C		NWFB-1C																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1C		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1C	NWFB-1C_LP-DIR-T	NWFB-1C		mt	123.4	-42.7	2	5	0	0.8	2.1	753	663	K		shoemake 2025-04-25 18:43:44	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1D		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1D		NWFB-1D																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1D	NWFB-1D_LP-DIR-T	NWFB-1D		mt	123.5	-42.0	2	5	0	2.3	2.6	753	663	K		shoemake 2025-04-25 20:11:32	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1D	NWFB-1D_LP-DIR-T	NWFB-1D		lt	223.8	4.4	2	5	0	103.4	19.3	403	273	K		shoemake 2025-04-25 20:11:32	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1E		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1E		NWFB-1E																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1E	NWFB-1E_LP-DIR-T	NWFB-1E		lt	144.5	-41.5	2	4	0	21.5	34.9	433	343	K		shoemake 2025-05-01 16:45:40	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1E	NWFB-1E_LP-DIR-T	NWFB-1E		mt	121.2	-39.8	2	5	0	0.8	2.2	723	603	K		shoemake 2025-05-01 16:45:40	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1F		NWFB-1F																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1F		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1F	NWFB-1F_LP-DIR-T	NWFB-1F		lt	117.5	-40.5	2	6	0	0.3	9.6	513	373	K		shoemake 2025-05-01 16:48:01	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1F	NWFB-1F_LP-DIR-T	NWFB-1F		mt	123.5	-37.2	2	6	0	2.2	4.9	723	603	K		shoemake 2025-05-01 16:48:01	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1G		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1G		NWFB-1G																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1G	NWFB-1G_LP-DIR-T	NWFB-1G		mt	111.3	-41.8	2	7	0	1.0	1.5	753	633	K		shoemake 2025-05-01 16:50:22	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1G	NWFB-1G_LP-DIR-T	NWFB-1G		lt	113.5	-40.9	2	6	0	2.1	11.5	513	373	K		shoemake 2025-05-01 16:50:22	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1H	NWFB-1H_LP-DIR-T	NWFB-1H		lt	125.5	-38.0	2	6	0	4.7	3.6	513	373	K		shoemake 2025-05-01 16:52:42	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1H	NWFB-1H_LP-DIR-T	NWFB-1H		mt	121.6	-39.9	2	10	0	0.5	3.7	753	603	K		shoemake 2025-05-01 16:52:42	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1H		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1H		NWFB-1H																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2A		NWFB-2A																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2A		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2B	NWFB-2B_LP-DIR-T	NWFB-2B		mt	16.1	-27.2	2	5	0	0.4	0.7	753	663	K		shoemake 2025-05-01 16:55:04	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2B	NWFB-2B_LP-DIR-T	NWFB-2B		lt	16.9	-26.0	2	3	0	1.2	1.2	433	373	K		shoemake 2025-05-01 16:55:04	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2B		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2B		NWFB-2B																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2C		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2C	NWFB-2C_LP-DIR-T	NWFB-2C		lt	16.0	-25.8	2	5	0	1.5	2.3	463	343	K		shoemake 2025-05-01 16:57:28	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2C	NWFB-2C_LP-DIR-T	NWFB-2C		mt	18.6	-26.1	2	7	0	0.5	0.5	753	633	K		shoemake 2025-05-01 16:57:28	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2C		NWFB-2C																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2D		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2D	NWFB-2D_LP-DIR-T	NWFB-2D		mt	18.6	-26.0	2	7	0	0.7	0.9	753	633	K		shoemake 2025-05-01 16:59:53	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2D		NWFB-2D																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2D	NWFB-2D_LP-DIR-T	NWFB-2D		lt	20.4	-24.5	2	3	0	2.2	4.1	433	373	K		shoemake 2025-05-01 16:59:53	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2E	NWFB-2E_LP-DIR-T	NWFB-2E		lt	16.8	-25.7	2	5	0	0.4	2.3	483	373	K		shoemake 2025-04-09 16:56:24	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2E	NWFB-2E_LP-DIR-T	NWFB-2E		mt	18.0	-26.0	2	5	0	0.4	1.0	723	633	K		shoemake 2025-04-09 16:56:24	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2E		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2E		NWFB-2E																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2F	NWFB-2F_LP-DIR-T	NWFB-2F		mt	17.4	-25.7	2	4	0	0.8	0.7	723	633	K		shoemake 2025-05-01 17:09:29	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2F		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2F		NWFB-2F																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2F	NWFB-2F_LP-DIR-T	NWFB-2F		lt	15.7	-24.7	2	5	0	1.9	3.0	483	373	K		shoemake 2025-05-01 17:09:29	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2G		NWFB-2G																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2G		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2G	NWFB-2G_LP-DIR-T	NWFB-2G		mt	18.3	-25.9	2	4	0	0.7	0.7	723	633	K		shoemake 2025-05-01 17:11:52	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2G	NWFB-2G_LP-DIR-T	NWFB-2G		lt	20.1	-22.7	2	3	0	3.9	2.7	433	373	K		shoemake 2025-05-01 17:11:52	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-2H		NWFB-2H																	This study	LP-NOMAG				NWFB	NWFB
NWFB-2H		NWFB-2																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3A		NWFB-3A																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3A		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3B	NWFB-3B_LP-DIR-T	NWFB-3B		lt	244.2	27.6	2	4	0	120.0	4.4	463	373	K		shoemake 2025-05-01 17:14:12	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3B	NWFB-3B_LP-DIR-T	NWFB-3B		mt	124.7	-73.7	2	5	0	0.1	0.3	723	603	K		shoemake 2025-05-01 17:14:12	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3B		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3B		NWFB-3B																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3C		NWFB-3C																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3C		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3C	NWFB-3C_LP-DIR-T	NWFB-3C		lt	242.6	30.2	2	3	0	120.4	1.5	433	373	K		shoemake 2025-05-01 17:16:32	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3C	NWFB-3C_LP-DIR-T	NWFB-3C		mt	122.1	-72.6	2	6	0	0.1	1.2	723	603	K		shoemake 2025-05-01 17:16:32	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3D		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3D	NWFB-3D_LP-DIR-T	NWFB-3D		mt	126.3	-73.3	2	6	0	0.1	0.8	723	603	K		shoemake 2025-05-01 17:18:52	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3D		NWFB-3D																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3D	NWFB-3D_LP-DIR-T	NWFB-3D		lt	247.0	34.1	2	4	0	124.4	5.9	463	373	K		shoemake 2025-05-01 17:18:52	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3E		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3E		NWFB-3E																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3E	NWFB-3E_LP-DIR-T	NWFB-3E		mt	130.2	-73.5	2	3	0	1.1	0.3	723	663	K		shoemake 2025-04-09 17:11:14	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3E	NWFB-3E_LP-DIR-T	NWFB-3E		lt	246.2	41.5	2	5	0	117.2	1.6	463	343	K		shoemake 2025-04-09 17:11:14	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3F		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3F	NWFB-3F_LP-DIR-T	NWFB-3F		mt	128.9	-74.4	2	3	0	1.2	0.1	723	663	K		shoemake 2025-04-09 17:13:46	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3F	NWFB-3F_LP-DIR-T	NWFB-3F		lt	251.9	45.6	2	4	0	116.9	3.2	463	373	K		shoemake 2025-04-09 17:13:46	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3F		NWFB-3F																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3G		NWFB-3G																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3G	NWFB-3G_LP-DIR-T	NWFB-3G		mt	126.6	-72.3	2	4	0	0.4	2.3	693	633	K		shoemake 2025-04-24 18:11:20	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3G	NWFB-3G_LP-DIR-T	NWFB-3G		lt	253.3	45.6	2	7	0	113.7	4.1	543	373	K		shoemake 2025-04-24 18:11:20	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3G		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
NWFB-3H	NWFB-3H_LP-DIR-T	NWFB-3H		mt	150.3	-72.9	2	5	0	0.8	1.3	723	633	K		shoemake 2025-05-01 17:28:29	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3H	NWFB-3H_LP-DIR-T	NWFB-3H		lt	257.5	47.8	2	6	0	86.1	2.5	513	373	K		shoemake 2025-05-01 17:28:29	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-3H		NWFB-3																	This study	LP-NOMAG				NWFB	NWFB
